v001e,v002e,v003e,v004e,v005e,v006e,v007e,v008e,v009e,v010e,v100e,v101e,v102e,v103e,v104e,v105e,v106e,v107e,v108e,v109e,v110e,v111e,v112e,v113e,v114e,v115e,v116e,v117e,v118e,v119e,v120e,v121e,v122e,v123e,v124e,v125e,v126e,v127e,v128e,v129e,v130e,v131e,v132e,v133e,v134e,v135e,v136e,v137e,v138e,v139e,v140e,v141e,v142e,v143e,v144e,v145e,v146e,v147e,v200e,v201e,v202e,v203e,v204e,v205e,v206e,v207e,v208e,v209e,v210e,v211e,v212e,v213e,v214e,v215e,v216e,v217e,v218e,v219e,v220e,v221e,v222e,v223e,v224e,v225e,v226e,v227e,v228e,v229e,v230e,v231e,v250e,v251e,v252e,v253e,v254e,v255e,v256e,v257e,v258e,v259e,v260e,v261e,v262e,v263e,v264e,v265e,v266e,v267e,v268e,v269e,v270e,v271e,v272e,v273e,v274e,v300e,v301e,v302e,v303e,v304e,v305e,v306e,v307e,v308e,v309e,v310e,v311e,v312e,v313e,v314e,v315e,v316e,v317e,v318e,v319e,v320e,v321e,v322e,v323e,v324e,v325e,v326e,v326e_add,v327e,v328e,v329e,v330e,v331e,v400e,v401e,v402e,v403e,v404e,v405e,v406e,v407e,v408e,v409e,v410e,v411e,v412e,v413e,v414e,v415e,v416e,v500e,v501e,v502e,v503e,v504e,v505e,v506e,v507e,v508e,v509e,v510e,v511e,v512e,v513e,v514e,v515e,v516e,v517e,v518e,v519e,v520e,v600e,v601e,v602e,v603e,v604e,v605e,v700e,v701e,v702e,v703e,v704e,v705e,v706e,v707e,v708e
1,101,Figl I,1945/12/20,1947/11/20,,,1945/11/25,,"ÖVP, SPÖ, KPÖ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,88888,76,85,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,,,,,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1,F,88888,1,1461,1436,3,3,3,2.09,1,88888,0.5152,1,0,0,1,165,100.00,88888,3,88888,1,0,0,0,1,1,0,1,3,15,88888,ÖVP, ,ÖVP,,88888,88888,,,1,,,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,4,3,2,0,1,0,0,165,88888,,0,0.479,0.487,700,700,,,0,,-58.7,1.7,98,10.3,-11.99
1,102,Figl II,1947/11/20,1949/10/09,,3,,1949/10/09,"ÖVP, SPÖ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,88888,76,85,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,,,,,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1,E,88888,0,761,736,3,3,3,2.09,1,88888,0.5152,1,0,0,1,161,97.58,88888,2,-1,1,0,0,0,1,1,0,1,3,15,0,ÖVP,,ÖVP,,88888,88888,,,1,,,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,4,3,2,0,1,0,0,165,88888,0,0,0.905,0.936,689,689,,,98,1.7,10.3,4.6,22.6,19,-11.65
1,103,Figl III,1949/11/08,1953/02/22,,3,1949/10/09,1953/02/22,"ÖVP, SPÖ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,88888,67,77,16,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,,,,,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1,FE,88888,1,1462,1431,4,4,4,2.54,3,88888,0.4667,0.333,1,0,1,144,87.27,88888,2,0,1,0,0,0,1,1,1,0,2,11,-1,ÖVP,,VdU,,88888,88888,45.8,18.8231,0.333,27.5,45.8,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,4,3,2,0,1,0,0,165,88888,30,0,0.822,0.84,1202,1202,11.66,5.83,22.6,4.6,19,9,-1.4,4.4,0.62
1,104,Raab I,1953/04/02,1956/05/13,,3,1953/02/22,1956/05/13,"ÖVP, SPÖ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,88888,73,74,14,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,,,,,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1,FE,88888,1,1447,1422,4,4,4,2.47,3,88888,0.4485,0.333,1,0,1,147,89.09,88888,2,0,1,0,0,0,1,1,1,0,2,11,0,ÖVP,,VdU,,88888,88888,46,19.37358,0.333,33.1,46,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,4,3,2,0,1,0,0,165,88888,39,0,0.786,0.8,1137,1137,6.17,3.09,-1.4,9,4.4,5.1,3.9,6.9,5.64
1,105,Raab II,1956/06/29,1959/05/10,,3,1956/05/13,1959/05/10,"ÖVP, SPÖ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,88888,74,82,6,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,,,,,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1,FE,88888,1,1441,1414,4,4,4,2.22,3,88888,0.497,0.5,1,0,1,156,94.55,88888,2,0,1,0,0,0,1,1,1,0,2,12,1,ÖVP,,FPÖ,,88888,88888,62.8,37.63334,0.5,50.1,62.8,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,4,3,2,0,1,0,0,165,88888,47,0,0.725,0.739,1045,1045,5.64,2.82,3.9,5.1,6.9,4.6,1,2.8,-0.02
1,106,Raab III,1959/07/16,1961/04/11,,,1959/05/10,,"ÖVP, SPÖ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88888,88888,78,79,8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,,,,,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1,F,88888,1,1425,1394,3,3,3,2.2,3,88888,0.4788,0.333,1,0,1,157,95.15,88888,2,0,1,0,0,0,1,1,1,0,2,12,0,ÖVP,,FPÖ,,88888,88888,40,18.23208,0.333,2.799999,40,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,4,3,2,0,1,0,0,165,88888,67,0,0.446,0.456,635,635,3.51,1.76,1,4.6,2.8,2.7,3.6,5.3,0.45
1,107,Gorbach I,1961/04/11,1962/11/18,,3,,1962/11/18,"ÖVP, SPÖ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,88888,88888,78,79,8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,,,,,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,E,88888,0,790,759,3,3,3,2.2,3,88888,0.4788,0.333,1,0,1,157,95.15,88888,2,0,1,0,0,0,1,1,1,0,2,12,0,ÖVP,,FPÖ,,88888,88888,40,18.23208,0.333,2.799999,40,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,4,3,2,0,1,0,0,165,88888,0,0,0.742,0.772,586,586,3.51,1.76,3.6,2.7,5.3,2.7,4.4,2.4,0.45
1,108,Gorbach II,1963/03/27,1964/04/02,,,1962/11/18,,"ÖVP, SPÖ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,88888,88888,76,81,8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,,,,,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1,F,88888,1,1359,1332,3,3,3,2.2,3,88888,0.4909,0.333,1,0,1,157,95.15,88888,2,0,1,0,0,0,1,1,1,0,2,12,0,ÖVP,,FPÖ,,88888,88888,35.8,14.9627,0.333,24.7,24.7,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,4,3,2,0,1,0,0,165,88888,129,0,0.247,0.279,335,372,2.03,1.02,2.7,2.9,4.1,2.7,3.8,6.1,1.48
1,109,Klaus I,1964/04/02,1965/10/25,,,,1966/03/06,"ÖVP, SPÖ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,88888,88888,76,81,8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,,,,,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,E,88888,0,987,960,3,3,3,2.2,3,88888,0.4909,0.333,1,0,1,157,95.15,88888,2,0,1,0,0,0,1,1,1,0,2,12,0,ÖVP,,FPÖ,,88888,88888,35.8,14.9627,0.333,24.7,24.7,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,4,3,2,0,1,0,0,165,88888,0,0,0.579,0.595,571,571,2.03,1.02,3.8,2.7,6.1,2.7,5,2.9,1.48
1,110,Klaus II,1966/04/19,1970/03/01,,3,1966/03/06,1970/03/01,ÖVP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,88888,88888,74,85,6,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,,,,,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1,FE,88888,1,1442,1412,3,3,3,2.14,1,88888,0.5152,1,0,0,0,85,51.52,88888,1,-1,1,1,0,0,1,0,0,0,,13,1,ÖVP,,ÖVP,,88888,88888,34.75,18.78333,1,21.6,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,4,3,2,0,1,0,0,165,88888,176,0,0.979,1,1412,1412,2.92,2.92,2.2,2.5,5.6,2.4,4.4,7.1,-3.65
