v001x,v002x,v003x,v004x,v005x,v001y,v002y,v003y,v004y,v005y,v006y,v007y,v008y,v009y,v010y,v011y,v012y,v013y,v014y,v015y,v016y,v017y,v030y,v030y2,v031y,v031y2,v032y,v032y2,v033y,v033y2,v034y,v034y2,v035y,v035y2,v036y,v036y2,v040y,v041y,v042y,v043y,v044y,v044y2,v045y,v046y,v047y,v048y,v049y,v050y,v051y,v051y2,v052y,v053y,v054y,v055y,v056y,v057y,v058y,v058y2,v059y,v059y2,v060y,v060y2,v061y,v062y,v063y,v080y,v081y,v082y,v083y,v084y,v085y,v086y,v088y,v089y,v090y,v091y,v091y2,v092y,v093y,v120y,v121y,v122y,v123y,v124y,v124y2,v125y,v126y,v127y,v128y,v129y,v130y,v131y,v132y,v133y,v134y,v135y,v136y,v137y,v138y,v139y,v140y,v160y,v160y1,v161y,v161y1,v161y2,v162y,v163y,v164y,v165y,v166y,v166y2,v166y3,v167y,v167y2,v168y,v168y2,v169y,v169y2,v169y9,v169y10,v169y11,v169y12,v169y13,v169y14,v170y,v170y2,v170y3,v171y,v171y1,v171y2,v171y3,v171y4,v171yt,v172y,v173y,v174y,v174y1,v175y,v176y,v176y2,v176y3l,v176y3,v176yt,v177y,v178y,v178y2,v178y3l,v178y3,v178yt,v179y,v179y2,v180y,v200y,v201y,v202y,v203y,v203y2,v204y,v204y2,v205y,v206y,v207y,v208y,v209y,v210y,v211y,v212y,v213y,v214y,v215y,v216y,v216y2,v216y3,v217y,v217y2,v217y3,v217y4,v217y5,v217y5l,v217y6,v217y7,v217y23,v217y24,v217y25,v217y27,v217y31,v217y32,v218y,v218yl,v219y,v219y2,v219y3,v219y4,v219y5,v220y,v221y
16,1626,Persson II,980920,88888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1463,7,4.29,4.116022,1,0.3754,0.418,1,0,0,37.53582,1,0,1,0,1,0,0,0,0,1,14,0,22,0,,,,0,73.5,22.16538,2.48549,1,0.055,32.6,0,0,1,0,0,0,1,1,1,0,0,0,0,5.16,0,0,1,0,0,1,0,3,0,1,0,0,1,349,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,0,0,,,1,1,1,1,,,,,,,,,,,,,,,,0,0,0,0,0,14.32665,8.9,-0.3,6.5,3.6,6.5,,,,6.5,,,,,,,,,,,,0,,,,,,,,,0,0,,,1,0,0,,
9,922,Ahern I,970626,88888,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1780,7,2.97,2.905566,1.15,0.4639,0.542,1,0,1,48.79518,2,-1,1,0,0,1,0,0,0,1,15,0,15,0,0.0493827,0.0493827,1,0,31.9,6.220213,2.832458,1,0.542,0,14.8,1,0,0,0,0,0,0,1,0,0,1,1,4.06,1,0,0,0,0,0,0,6,0,1,0,0,1,166,1,0,0,0,0,0,0,1,0,1,0,0,0,20,21,0,0,1,2,7351,0,0,0,0,100,0,1,2,1,1,0,0,1,1,0,1,1,1,0,1,1,1,2,PS,1,0,1,2,2,Parl,,,,0,0,0,0,0,13.25301,1.9,1.4,,9.8,,,,,,,,,,,,,,,,,1,,,,,,,,,0,0,,,0,1,0,,
6,626,Schroeder,981027,88888,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1459,5,2.9,3,1.6,0.4454,0.5,1,0,1,51.56951,2,0,1,0,0,0,1,1,0,2,15,0,16,0,0.1304348,0.128474,1,0,60.3,14.18565,2.817853,0,0.5,0,21.9,1,1,1,1,0,1,1,1,1,0,1,1,3.47,1,0,1,1,0,0,0,7,0,1,0,0,1,669,0,1,1,0,0,0,0,0,0,0,0,0,0,30,31,0,0,1,2,16536,1.6,0,1.1,0,97.3,1,2,3,1,1,0,0,1,1,1,1,1,1,1,0,1,2,1,CoC,1,0,1,2,1,Pca,,,,0,0,0,0,0,7.960976,3.55,0.9,12.3,2,12.3,,,,12.3,,,,,,,,,,,,0,,,,,,,,,0,0,,,1,0,0,,
10,1051,D'Alema,981021,88888,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,912,14,6.4,5.438211,2.55,0.281,0.343,1,0,1,52.85714,7,1,1,0,0,0,1,1,0,2,26,1,27,1,0.2027027,0.1714527,1,20,86.3,20.01994,3.079085,0,0.028,18.5,46.8,1,1,1,0,0,1,0,0,0,1,0,1,7.13,1,0,0,0,1,0,0,4,0,0,0,0,1,630,0,0,0,0,0,0,0,0,1,1,0,0,0,12,13,1,1,0,0,,,,,,,0,1,1,2,0,1,0,2,3,0,0,2,0,1,0,1,1,1,CoC,1,0,1,1,1,CoC,,,,0,0,0,0,0,9.047619,0.875,1.8,12,1.8,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,0,0,0,,
11,1116,Juncker,950126,88888,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1599,5,3.9,3.748056,1.88,0.35,0.385,1,0,1,63.33333,2,0,1,0,0,0,1,1,0,2,21,0,11,0,0.007177,0.0098684,0,0,37,14.29848,2.523756,1,0.385,0,2.699999,1,0,0,0,0,0,1,1,1,0,0,0,4,1,1,0,0,0,0,0,5,1,1,0,0,1,60,1,0,1,1,1,0,0,0,0,0,0,1,0,6,7,0,0,1,2,,,,,,,1,2,3,2,0,1,0,2,4,1,1,2,0,1,0,1,1,1,CoC,1,0,1,1,1,CoC,,,0,0,0,1,1,0,5,,1.9,5.1,3.8,3.1,,,,0,,,,,,,,,,,,0,,,,,,,,,0,0,,,0,0,0,,
4,444,Lipponen,950413,88888,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1438,10,4.88,4.095407,2.82,0.315,0.376,1,0,1,72.5,5,1,1,0,0,0,1,0,1,3,13,0,18,1,0.0892241,0.105685,0,0,41.7,17.417,2.654002,1,0.215,40.5,29.5,0,1,0,0,0,1,1,1,1,0,0,0,4.86,0,0,0,0,0,0,0,1,0,0,1,1,0,200,0,1,1,0,0,0,0,0,0,0,0,0,0,25,26,0,0,1,2,4541,0,0,0,0,100,1,2,3,2,0,1,0,2,2,1,1,2,0,0,0,0,0,0,CaC,1,0,1,1,1,Pca,,,,0,0,0,0,0,10.5,1.725,1,17.2,5.1,11.4,,,,11.4,,,,,,,,,,,,0,,,,,,,,,0,0,,,1,0,0,,
13,1326,Bondevik,971017,88888,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1428,8,4.36,2.87155,1.95,0.3939,0.552,1,0,1,25.4,3,1,0,0,0,1,0,0,0,1,20,1,19,0,0.1666667,0.1387164,1,0,75.9,21.61854,2.68196,1,0.115,,21.7,1,0,1,0,0,0,1,1,1,0,0,0,6.76,0,0,0,0,0,0,0,2,0,1,0,0,1,165,1,1,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,4,20240,0,0,0,0,100,1,2,3,1,1,0,0,1,2,1,1,1,1,0,0,0,0,0,IC,0,0,0,0,0,IC,,,0,0,0,0,0,0,20,1.9,2.6,3.3,3.4,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,1,0,0,,
5,523,Jospin,970602,88888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1825,5,3.42,3.720653,1.71,0.4333,0.423,1,0,1,55.28596,3,1,1,0,0,0,1,1,0,2,14,-1,17,-1,0.0778167,0.0544465,1,6.239168,36.1,11.58649,2.600328,0,0.423,0,19.5,1,1,1,1,0,1,0,1,0,0,1,1,3.4,0,0,1,0,0,0,0,6,0,1,1,1,1,577,1,0,0,0,0,0,0,1,0,1,0,0,0,2,3,0,0,1,4,3390,0,0,0,0,100,0,1,2,2,0,1,0,2,2,0,1,2,0,0,0,0,0,0,CaC,0,1,1,,2,PS,,,,0,1,0,1,1,41.42114,4.9,1.2,12.4,2.3,,,,,,,,,,,,,,,,,1,,,,,,,,,0,0,,,1,0,0,,
3,331,Rasmussen IV,980311,88888,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1461,10,4.76,4.427835,1.17,0.3575,0.421,1,0,1,39.7,2,0,1,0,0,1,0,0,0,1,23,1,20,1,0.1187998,0.1214084,0,0,81.2,26.19432,3.116776,0,0.05,,0.4,0,0,1,0,0,1,1,0,0,0,0,0,6.5,0,0,0,0,0,1,1,5,1,1,0,0,0,179,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,2,5613,0,6,0,0,93,1,2,3,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,CaC,0,0,0,0,0,IC,,,,0,0,0,0,0,11.73184,0.7,1.8,6.5,2.5,6.5,,,,6.5,,,,,,,,,,,,1,,,,,,,,,0,0,,,0,1,0,,
8,826,Oddsson III,990528,88888,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1461,5,3.48,2.997,1.6,0.4127,0.5,1,0,1,58.73016,2,0,1,0,0,0,1,1,0,2,15,0,12,1,0.1693694,0.1438792,0,0,34.9,16.16775,2.802238,1,0.167,,31.4,1,1,0,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,0,0,0,63,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,2,2100,0,1,3,0,96,1,2,3,2,0,1,0,2,2,1,1,2,0,0,0,0,0,0,IC,0,0,0,0,0,IC,,,,0,0,0,0,0,12.69841,0.65,3.4,1.9,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,0,1,0,,
