v001x,v002x,v003x,v004x,v005x,v006x,v007x,v008x,v009x,v010x,v011x,v012x,v013x,v014x,v015x,v016x,v017x,v018x,v019x,v020x,v021x,v022x,v023x,v024x,v025x,v026x,v027x,v028x,v029x,v030x,v031x,v032x,v033x,v034x,v035x,v036x,v037x,v038x,v039x,v040x,v041x,v042x,v043x,v044x,v045x,v046x,v047x,v048x,v049x,v050x,v051x,v052x,v053x,v054x,v055x,v056x,v057x,v058x,v059x,v060x,v061x,v062x,v063x,v064x,v065x,v066x,v067x,v068x,v069x,v070x,v071x,v072x,v073x,v074x,v075x,v076x,v077x,v078x,v079x,v080x,v081x,v082x,v083x,v084x,v085x,v086x,v087x,v088x,v089x,v090x,v091x,v092x,v093x,v094x,v095x,v096x,v097x,v098x,v099x,v100x,v101x,v102x,v103x,v104x,v105x,v106x,v107x,v108x,v109x,v110x,v111x,v112x,v113x,v114x,v218x,v219x,v220x,v221x,v222x,v223x,v224x,v225x,v226x,v227x,v228x,v229x,v230x,v231x,v232x,v233x,v234x,v235x,v236x,v237x,v238x,v239x,v240x,v241x,v242x,v243x,v244x,v245x,v246x,v247x,v248x,v249x,v250x,v251x,v252x,v253x,v254x,v255x,v256x,v257x,v258x,v259x,v260x,v261x,v262x,v263x,v264x,v265x,v266x,v267x,v268x,v269x,v270x,v271x,v272x,v273x,v274x,v275x,v276x,v277x,v278x,v279x,v280x
1,101,Renner,450427,451220,40,88888,237,88888,0,"SPÖ, ÖVP, KPÖ",0,3,1,1,1,1,F,E,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,3,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,7,N,0,88888,0,"CoC, CaC",CaC,CoC,1,2,1,0,1,0,88888,88888,88888,88888,88888,88888,1,0,0,0,0,0,0,0,88888,0,88888,88888,0,0,0,0,0,0,88888,88888,1,0,0,1,1945,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888
1,102,Figl I,451220,471120,40,1461,700,0.4791238877,0,"ÖVP, SPÖ, KPÖ",0,3,1,1,1,1,88888,F,4,88888,76,85,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,ÖVP,165,165,100,2.2,ÖVP,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,3,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,25,N,0,88888,0,"CoC, CaC",CaC,CoC,1,2,1,1,1,0,88888,88888,88888,88888,88888,88888,0,0,0,0,0,0,1,0,"ÖVP, SPÖ, KPÖ",0,88888,88888,0,0,1,1,0,1,"3, 4","Currency reform, Marshall Plan",0,1,1,0,1949,-0.3,88888,-5.9,-5.8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,-12,88888,88888,88888,88888,88888,0,88888,88888,88888,88888,0,88888
1,103,Figl II,471120,491011,40,761,689,0.9053876478,0,"ÖVP, SPÖ",0,2,1,1,1,1,E,E,4,88888,76,85,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,ÖVP,165,161,97.57576,2.2,ÖVP,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,3,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,N,0,88888,0,"CoC, CaC",CaC,CoC,1,2,1,1,1,0,88888,88888,88888,88888,88888,88888,1,0,0,0,0,0,0,0,88888,0,88888,88888,0,0,0,0,0,0,88888,88888,1,0,0,1,1949,88888,88888,-5.9,-5.8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,-11.7,88888,88888,88888,88888,88888,0,88888,88888,88888,88888,0,88888
1,104,Figl III,491108,530225,40,1462,1202,0.8221614227,0,"ÖVP, SPÖ",0,2,1,1,0,1,FE,FE,5,88888,67,77,16,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,ÖVP,165,144,87.27273,2.87,VdU,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,4,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,30,POST,2,0,1,"CoC, CaC",CaC,CoC,1,1,1,1,1,1,1600,11,44,16,25,5,0,0,0,1,0,0,1,0,"ÖVP, SPÖ",0,88888,88888,0,0,0,0,0,1,3,Budget,0,0,1,1,1953,88888,88888,3.8,-2.7,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1.1,88888,88888,88888,88888,88888,0,88888,88888,88888,88888,1,4
1,105,Raab I,530402,560514,50,1447,1137,0.7857636489,0,"ÖVP, SPÖ",0,2,1,1,0,1,FE,FE,4,88888,73,74,14,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,ÖVP,165,147,89.09091,2.77,VdU,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,4,1,"ÖVP, SPÖ, VdU",88888,88888,88888,88888,88888,88888,88888,88888,88888,39,POST,2,0,1,"Coc, CaC",CaC,CoC,1,1,1,1,1,1,700,28,33,30,4,4,0,0,0,1,0,0,1,0,"ÖVP, SPÖ",0,88888,88888,0,0,0,0,0,0,88888,88888,0,0,1,1,1956,88888,88888,1,4.7,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,5.7,88888,88888,88888,88888,88888,0,88888,88888,88888,88888,1,4
1,106,Raab II,560629,590512,50,1441,1045,0.7251908397,0,"ÖVP, SPÖ",0,2,1,1,0,1,FE,FE,3,88888,74,82,6,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,ÖVP,165,156,94.54545,2.46,FPÖ,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,4,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,47,POST,2,1,1,"CoC, CaC",CaC,CoC,1,1,1,1,1,1,1700,41,30,4,24,0,0,0,0,1,0,0,1,0,"ÖVP, SPÖ",0,88888,88888,0,0,0,0,0,0,88888,88888,0,0,1,1,1959,88888,88888,1.8,-1.8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,88888,88888,88888,88888,88888,0,88888,88888,88888,88888,1,4
1,107,Raab III,590716,610411,50,1425,635,0.4456140351,0,"ÖVP, SPÖ",0,2,1,1,0,1,FE,F,88888,88888,78,79,8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,ÖVP,165,157,95.15152,2.35,FPÖ,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,3,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,67,POST,2,1,1,"CoC, CaC",CaC,CoC,1,1,1,1,1,1,1200,50,13,26,6,6,0,0,0,0,0,0,0,0,88888,1,ÖVP,L,0,0,0,0,0,0,88888,88888,0,0,1,0,1962,88888,88888,-0.8,1.2,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.4,88888,88888,88888,88888,88888,0,88888,88888,88888,88888,0,88888
1,108,Gorbach I,610411,621120,60,790,586,0.7417721519,0,"ÖVP, SPÖ",0,2,1,1,0,0,88888,E,88888,88888,78,79,8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,ÖVP,165,157,95.15152,2.35,FPÖ,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,3,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,POST,2,1,1,"CoC, CaC",CaC,CoC,1,1,1,1,1,1,1200,50,13,26,6,6,0,0,0,1,0,0,0,0,88888,0,88888,88888,0,0,0,0,0,0,88888,88888,0,0,1,1,1962,88888,88888,-0.8,1.2,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.4,88888,88888,88888,88888,88888,0,88888,88888,88888,88888,1,4
1,109,Gorbach II,630327,640402,60,1359,335,0.2465047829,0,"ÖVP, SPÖ",0,2,1,1,0,1,FE,F,88888,88888,76,81,8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,ÖVP,165,157,95.15152,2.38,FPÖ,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,3,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,129,POST,2,1,1,"CoC, CaC, IC",CaC,IC,1,1,1,1,1,1,4400,21,27,19,24,9,0,0,0,0,0,0,0,0,88888,1,ÖVP,L,0,0,0,0,0,0,88888,88888,0,0,1,0,1966,88888,88888,-1.4,2.9,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1.5,88888,88888,88888,88888,88888,0,88888,88888,88888,88888,0,88888
1,110,Klaus I,640402,651025,60,987,571,0.57852077,0,"ÖVP, SPÖ",0,2,1,1,0,0,88888,E,88888,88888,76,81,8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,ÖVP,165,157,95.15152,2.38,FPÖ,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,3,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,POST,2,1,1,"CoC, CaC, IC",CaC,IC,1,1,1,1,1,1,4400,21,27,19,24,9,0,0,0,1,0,0,1,0,"ÖVP, SPÖ",0,88888,88888,0,0,0,0,0,1,3,Budget,0,0,1,1,1966,88888,88888,-1.4,2.9,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1.5,88888,88888,88888,88888,88888,1,0,88888,88888,88888,1,4
